[2025-08-05T15:12:21+08:00][sql] CONNECT:[ UseTime:0.006300s ] mysql:host=124.220.1.39;port=3306;dbname=app_84000looking;charset=utf8mb4
[2025-08-05T15:12:21+08:00][sql] SHOW FULL COLUMNS FROM `sys_schedule` [ RunTime:0.004557s ]
[2025-08-05T15:12:21+08:00][sql] SELECT `id`,`addon`,`key`,`status`,`time`,`count`,`last_time`,`next_time`,`create_time`,`delete_time`,`update_time` FROM `sys_schedule` WHERE  `status` = 1 ORDER BY `id` DESC [ RunTime:0.004120s ]
[2025-08-05T15:49:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004222s ]
[2025-08-05T15:49:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004265s ]
[2025-08-05T15:50:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004228s ]
[2025-08-05T15:50:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004180s ]
[2025-08-05T15:51:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004182s ]
[2025-08-05T15:51:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004191s ]
[2025-08-05T15:52:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004220s ]
[2025-08-05T15:52:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004180s ]
[2025-08-05T15:53:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004205s ]
[2025-08-05T15:53:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004199s ]
[2025-08-05T15:54:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004248s ]
[2025-08-05T15:54:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004273s ]
[2025-08-05T15:55:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004793s ]
[2025-08-05T15:55:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004146s ]
[2025-08-05T15:56:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004242s ]
[2025-08-05T15:56:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004189s ]
[2025-08-05T15:57:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004174s ]
[2025-08-05T15:57:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004175s ]
[2025-08-05T15:58:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004246s ]
[2025-08-05T15:58:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004139s ]
[2025-08-05T15:59:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004203s ]
[2025-08-05T15:59:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004192s ]
[2025-08-05T16:00:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004149s ]
[2025-08-05T16:00:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004212s ]
[2025-08-05T16:01:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004145s ]
[2025-08-05T16:01:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004164s ]
[2025-08-05T16:02:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004216s ]
[2025-08-05T16:02:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004131s ]
[2025-08-05T16:03:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004170s ]
[2025-08-05T16:03:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004178s ]
[2025-08-05T16:04:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004221s ]
[2025-08-05T16:04:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004187s ]
[2025-08-05T16:05:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004217s ]
[2025-08-05T16:05:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004173s ]
[2025-08-05T16:06:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004257s ]
[2025-08-05T16:06:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004208s ]
